0	5	0
0	6	0
2	19	2187
0	6	2218
0	6	2233
2	34	2235
35	37	2241
2	12	2242
12	39	2242
7	12	2242
12	34	2242
3	12	2242
41	42	2244
46	47	2252
46	47	2253
25	31	2254
2	7	2255
2	12	2255
2	49	2255
2	34	2255
2	50	2255
2	51	2255
2	17	2255
2	52	2255
2	19	2255
2	49	2256
16	53	2256
2	49	2257
2	7	2260
2	12	2261
1	58	2265
2	34	2267
1	58	2276
2	12	2277
2	17	2278
2	12	2282
12	34	2282
3	12	2282
2	65	2288
2	66	2288
2	7	2288
2	34	2288
2	67	2288
2	68	2288
2	16	2288
4	70	2293
4	10	2293
3	12	2296
2	3	2296
2	50	2296
0	6	2302
49	74	2303
12	39	2303
49	74	2304
49	74	2305
4	10	2306
2	65	2307
11	14	2315
0	5	2321
2	66	2324
47	67	2331
2	49	2334
46	49	2335
46	49	2339
2	51	2339
2	34	2341
2	7	2344
2	16	2350
23	25	2350
2	12	2350
7	12	2350
12	34	2350
12	39	2350
3	12	2350
16	55	2353
14	16	2353
16	53	2353
7	12	2354
16	53	2356
16	55	2359
12	34	2363
47	67	2366
2	67	2367
2	52	2376
68	85	2376
67	84	2379
14	32	2383
14	32	2389
11	14	2391
49	75	2421
56	85	2427
3	12	2430
49	75	2432
49	75	2434
68	85	2434
2	12	2445
20	85	2468
20	85	2476
20	85	2483
20	85	2484
70	71	2497
65	76	2497
58	68	2503
2	34	2506
18	85	2517
14	32	2519
2	34	2522
68	83	2528
14	32	2534
2	17	2537
68	75	2539
49	75	2541
49	74	2543
49	75	2543
49	75	2545
2	84	2561
2	84	2563
14	32	2564
14	32	2566
14	16	2569
68	83	2573
8	65	2576
8	66	2576
60	95	2587
11	14	2596
11	14	2597
14	87	2602
49	74	2605
14	87	2623
49	74	2626
8	66	2631
8	66	2634
65	66	2634
14	32	2634
14	32	2654
18	85	2655
39	85	2657
41	62	2657
41	42	2657
41	62	2658
8	65	2678
18	85	2679
3	73	2690
3	73	2694
14	32	2696
68	75	2710
67	84	2716
68	83	2719
67	84	2719
68	75	2720
68	83	2731
0	5	3189
0	6	3189
14	95	3634
60	95	3634
11	95	3634
60	95	3673
14	95	3685
2	12	3721
2	65	3721
2	66	3721
2	7	3721
2	34	3721
2	3	3721
2	67	3721
2	68	3721
2	84	3721
2	16	3721
2	65	3724
2	34	3728
14	53	3728
2	12	3728
2	16	3737
2	7	3750
2	66	3751
14	16	3756
16	55	3756
16	53	3756
35	37	3757
16	53	3762
16	55	3767
55	87	3767
2	67	3773
41	42	3792
2	12	3798
2	65	3801
14	32	3810
14	32	3811
14	53	3813
14	16	3814
25	31	3831
2	65	3833
11	95	3836
52	75	3842
68	75	3849
14	55	3886
2	3	3887
55	87	3893
49	75	3901
14	55	3916
52	69	3919
68	75	3924
2	3	3925
3	12	3925
11	14	3927
3	12	3927
14	55	3927
14	55	3928
14	53	3929
2	3	3931
2	3	3934
58	68	3936
58	66	3936
58	93	3936
58	67	3936
55	58	3936
1	58	3936
2	3	3936
49	74	3944
68	75	3946
49	74	3951
68	83	3955
14	55	3975
52	69	3975
46	47	3980
46	47	3982
18	85	3986
102	104	3988
102	104	3990
2	12	3991
2	12	3992
17	56	3995
2	50	3995
58	67	3996
55	58	3996
58	93	3996
58	68	3996
